Name,Usage,Parent,Tags,Value,Units
CURRENT,SIGNAL,AXUV.DIODEARRAY1.CH_05,,\AXUV.DIODEARRAY1.CH_05.VOLTAGE / \AXUV.DIODEARRAY1.CH_05.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY1.CH_05,,10.02,Ohm
R,NUMERIC,AXUV.DIODEARRAY1.CH_05,,0.40503370307296654,m
Z,NUMERIC,AXUV.DIODEARRAY1.CH_05,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY1.CH_05,,-2.1072956212641043,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY1.CH_05,,-0.0777402697668969,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_05,,3.100800037384033,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY1.CH_05,,16.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_05,,13.867799758911133,
V_PEAK,NUMERIC,AXUV.DIODEARRAY1.CH_05,,0.2879999876022339,
AXUV.DIODEARRAY1.CH_06,SIGNAL,,,\AXUV.DIODEARRAY1.CH_06.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY1.CH_06,,\AXUV.DIODEARRAY1.CH_06.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY1.CH_06,,\ACQ1001_639.CH_25,
CURRENT,SIGNAL,AXUV.DIODEARRAY1.CH_06,,\AXUV.DIODEARRAY1.CH_06.VOLTAGE / \AXUV.DIODEARRAY1.CH_06.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY1.CH_06,,10.0,Ohm
R,NUMERIC,AXUV.DIODEARRAY1.CH_06,,0.405022561871558,m
Z,NUMERIC,AXUV.DIODEARRAY1.CH_06,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY1.CH_06,,-2.104950265942492,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY1.CH_06,,-0.06405178964046106,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_06,,3.497299909591675,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY1.CH_06,,15.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_06,,11.228699684143066,
V_PEAK,NUMERIC,AXUV.DIODEARRAY1.CH_06,,0.2966000139713287,
AXUV.DIODEARRAY1.CH_07,SIGNAL,,,\AXUV.DIODEARRAY1.CH_07.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY1.CH_07,,\AXUV.DIODEARRAY1.CH_07.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY1.CH_07,,\ACQ1001_639.CH_24,
CURRENT,SIGNAL,AXUV.DIODEARRAY1.CH_07,,\AXUV.DIODEARRAY1.CH_07.VOLTAGE / \AXUV.DIODEARRAY1.CH_07.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY1.CH_07,,10.11,Ohm
R,NUMERIC,AXUV.DIODEARRAY1.CH_07,,0.40501364868976947,m
Z,NUMERIC,AXUV.DIODEARRAY1.CH_07,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY1.CH_07,,-2.1026047944896322,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY1.CH_07,,-0.050099845836503766,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_07,,3.5104000568389893,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY1.CH_07,,14.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_07,,8.313799858093262,
V_PEAK,NUMERIC,AXUV.DIODEARRAY1.CH_07,,0.3019999861717224,
AXUV.DIODEARRAY1.CH_08,SIGNAL,,,\AXUV.DIODEARRAY1.CH_08.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY1.CH_08,,\AXUV.DIODEARRAY1.CH_08.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY1.CH_08,,\ACQ1001_639.CH_23,
CURRENT,SIGNAL,AXUV.DIODEARRAY1.CH_08,,\AXUV.DIODEARRAY1.CH_08.VOLTAGE / \AXUV.DIODEARRAY1.CH_08.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY1.CH_08,,10.02,Ohm
R,NUMERIC,AXUV.DIODEARRAY1.CH_08,,0.4050069636747003,m
Z,NUMERIC,AXUV.DIODEARRAY1.CH_08,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY1.CH_08,,-2.1002592327045164,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY1.CH_08,,-0.03593941847197822,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_08,,3.516900062561035,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY1.CH_08,,13.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY1.CH_08,,5.4421000480651855,
V_PEAK,NUMERIC,AXUV.DIODEARRAY1.CH_08,,0.2987000048160553,
AXUV.DIODEARRAY1.CH_09,SIGNAL,,,\AXUV.DIODEARRAY1.CH_09.CURRENT,
